N,result_leg,result_lag,error_leg,error_lag,time_leg,time_lag
2,0.0001421780134069963,0.3188120325327727,0.19262353294536955,-0.12604632157399615,4.062299558427185e-05,1.62170035764575e-05
3,0.33411521906761177,0.27685699515942647,-0.14134950810883523,-0.08409128420064993,3.4709002648014575e-05,4.314699617680162e-05
4,0.01520722729628894,0.21245295776208603,0.1775584836624876,-0.019687246803309494,0.00012100400635972619,0.00014678399747936055
5,0.35460216492991103,0.17049197451179743,-0.1618364539711345,0.02227373644697911,0.00020321599731687456,0.00026876099582295865
6,0.05942275656267111,0.15463692365203655,0.13334295439610544,0.03812878730673999,0.0003538610035320744,0.00047199999971780926
7,0.3011231226376086,0.1544220724323502,-0.10835741167883206,0.03834363852642633,0.0007919449999462813,0.0008530699997209013
8,0.10119626583692794,0.1611254189602866,0.0915694451218486,0.031640291998489944,0.0012244429963175207,0.0012145639993832447
9,0.25408505560064937,0.16950535794666127,-0.06131934464187283,0.023260353012115265,0.0031769430061103776,0.004261399000824895
10,0.1298342478608556,0.17708076571852904,0.06293146309792094,0.015684945240247494,0.009501878994342405,0.008253583997429814
11,0.22500843413703467,0.18302186535782447,-0.03224272317825813,0.009743845600952067,0.015100911004992668,0.018690515003982
12,0.1481789102841957,0.18730541444624957,0.044586800674580845,0.005460296512526969,0.02841932799492497,0.030282150000857655
13,0.2085693267356189,0.19021765986748346,-0.01580361577684236,0.00254805109129308,0.05013361800229177,0.05912933599756798
14,0.1600095893686404,0.19210773972519493,0.032756121590136134,0.0006579712335816057,0.08528082900011213,0.09151562999613816
15,0.19947477699709826,0.1932853392907318,-0.0067090660383217204,-0.000519628331955263,0.13455519400304183,0.16160436000063783
16,0.1678604368087336,0.19399061533947334,0.024905274150042928,-0.0012249043806968063,0.0792331360062235,0.10312561199680204
17,0.19446175106256555,0.1943957348997919,-0.001696040103789015,-0.0016300239410153572,0.15710064099403098,0.17532571699848631
18,0.17324723120317814,0.1946174969229527,0.019518479755598395,-0.0018517859641761503,0.23794615400402108,0.25864316100341966
19,0.19171108312007512,0.19473169530609027,0.0010546278387014163,-0.0019659843473137373,0.35746685000049183,0.4110357120007393
