n,iterations,jacobi,armadillo
100,15350,0.6750460000,0.003067000000
100,15350,0.6664270000,0.002927000000
100,15350,0.6653670000,0.002913000000
100,15350,0.6656630000,0.002942000000
100,15350,0.6669200000,0.002832000000
120,22154,1.365132000,0.004669000000
120,22154,1.338625000,0.005115000000
120,22154,1.329719000,0.005248000000
120,22154,1.351761000,0.005062000000
120,22154,1.398930000,0.005059000000
150,34837,3.196742000,0.008829000000
150,34837,3.210657000,0.008716000000
150,34837,3.205878000,0.008785000000
150,34837,3.183151000,0.009114000000
150,34837,3.208415000,0.008594000000
180,50184,6.556457000,0.01395300000
180,50184,6.554005000,0.01377300000
180,50184,6.551330000,0.01377900000
180,50184,6.556148000,0.01371800000
180,50184,6.545914000,0.01377300000
200,61795,9.884168000,0.01821000000
200,61795,9.895534000,0.01808700000
200,61795,9.888259000,0.01801100000
200,61795,9.892711000,0.01795300000
200,61795,9.892959000,0.01798200000
220,75521,14.88471700,0.02349700000
220,75521,14.89731700,0.02323100000
220,75521,14.90064500,0.02303300000
220,75521,14.89435800,0.02313600000
220,75521,14.89498300,0.02259700000
250,97331,25.32168600,0.03257800000
250,97331,25.31469100,0.03238600000
250,97331,25.30637600,0.03268300000
250,97331,25.30722700,0.03283900000
250,97331,25.31915100,0.03273700000
275,118196,37.21123100,0.04336100000
275,118196,37.17812100,0.04296800000
275,118196,37.16834100,0.04293400000
275,118196,37.16870500,0.04305800000
275,118196,37.17997500,0.04286300000
300,140688,53.43952700,0.05564700000
300,140688,52.93326000,0.05537400000
300,140688,52.96275500,0.05524900000
300,140688,52.90262000,0.05512000000
300,140688,54.07380800,0.05478500000
350,190703,100.4375850,0.08636800000
350,190703,100.4792280,0.08576300000
350,190703,101.0083790,0.08520500000
350,190703,100.3727620,0.08528500000
350,190703,100.3471160,0.08784400000
