T,spins,cycles,ordered,delay,E,M,Mabs,cv,suscept,accepted
1.0,4,10.0,0,0,-1.85,-0.95,0.95,1.1099999999999994,0.14000000000000012,3
1.0,4,11.231045018329521,0,0,-1.9143365523787972,-0.9682981398660195,0.9682981398660195,0.6559546759362203,0.10052768143886182,2
1.0,4,12.613637220374436,0,0,-1.7837836626263845,-0.8918918313131923,0.9117116497868187,1.5427326807998796,0.28233443277201076,4
1.0,4,14.166432746690207,0,0,-1.941208523820155,-0.979427937018351,0.979427937018351,0.45650605875313843,0.06294806260876529,2
1.0,4,15.910384392721525,0,0,-1.8541349644258296,0.9349239862994649,0.9349239862994649,1.0818138501811472,0.22765149639243099,3
1.0,4,17.869024337358287,0,0,-1.7348456980490612,-0.8744181945811801,0.888408885694479,1.840007200235151,0.3545820767143959,7
1.0,4,20.068781676649674,0,0,-1.9433167707124483,-0.9778869647495333,0.9778869647495333,0.4406138803705524,0.07403903690329505,3
1.0,4,22.539339047347912,0,0,-1.9077755523208029,0.9594336353241246,0.9594336353241246,0.7037741864346447,0.14459122060399077,3
1.0,4,25.31403315241567,0,0,-1.955437116715489,0.9826565308747027,0.9826565308747027,0.3485596640095725,0.05829474778207189,2
1.0,4,28.430304593026637,0,0,-1.741099882979844,0.870549941489922,0.9057236764996158,1.8030838537890457,0.27120572329115245,12
1.0,4,31.93020307691027,0,0,-1.675529587805457,-0.8495091601723929,0.8729978927117218,2.174639103997558,0.3730240905124731,17
1.0,4,35.86095482011831,0,0,-1.7149571256116685,0.8609642480204921,0.888849729737755,1.9553452341484032,0.3324412168676578,18
1.0,4,40.275599798502974,0,0,-1.986314304448262,-0.993157152224131,0.993157152224131,0.10873637136296388,0.02718409284074097,1
1.0,4,45.23370744772101,0,0,-1.9786129647550974,-0.9920699083059776,0.9920699083059776,0.16926666085295317,0.025941969502129236,2
1.0,4,50.80218046913023,0,0,-1.8995247666315798,-0.959604480552223,0.959604480552223,0.7634207768656083,0.13537069135241842,7
