T,spins,cycles,ordered,delay,E,M,Mabs,cv,suscept,accepted
1.0,400,100.0,0,0,-1.9148415,0.9138921249999999,0.9138921249999999,18.99765195109998,14.218199795193723,920
1.0,400,102.69700752844653,0,0,-1.8226168853863913,0.7293094687228706,0.7301174280003309,32.43786614389508,47.317976689517856,1733
1.0,400,105.46675355297805,0,0,-1.6960166969598467,0.2555243628169783,0.2555243628169783,14.78995219657023,1.5558401570454043,2615
1.0,400,108.31119983631001,0,0,-1.8340067813874148,0.7877831436541394,0.7877831436541394,28.329251391293365,32.111155091192046,1738
1.0,400,111.23236105004607,0,0,-1.8892808982580969,0.878042024623189,0.8780705684747266,23.850552393895633,21.07046526375674,1222
1.0,400,114.23230620163464,0,0,-1.893129292323658,-0.8771616658350031,0.8771616658350031,21.76799479265901,19.43755610151584,1286
1.0,400,117.31316009981083,0,0,-1.9201963343954216,-0.936399525906021,0.936399525906021,22.268261682808223,10.594505066685524,968
1.0,400,120.47710485956127,0,0,-1.8058360570135656,-0.7120631974017076,0.7130142079703427,27.47529452095274,41.116652987191046,2366
1.0,400,123.72638144767805,0,0,-1.6907602691707577,-0.1334960847213072,0.1339078804871241,18.61064542701235,1.7569063653952264,3070
1.0,400,127.06329126999654,0,0,-1.7101744951518594,-0.25200020147408914,0.252000594978771,11.383815412175755,2.009178708927666,3001
1.0,400,130.4901978014403,0,0,-1.8451184767637963,-0.7697726663948034,0.7697753485886071,27.07680542512855,37.61576872473932,1950
1.0,400,134.00952826002992,0,0,-1.687180217225171,-0.12331632470143514,0.14922754194907972,11.143020735154277,3.9385337091908355,3501
1.0,400,137.6237753260386,0,0,-1.8755131472633293,0.8198580676390733,0.81985879425771,24.412679775998402,29.854283748008783,1593
1.0,400,141.33549890751422,0,0,-1.8064226749365238,-0.7161257312024025,0.7170998318428233,25.677367213963443,38.9298075376252,2577
1.0,400,145.14732795341735,0,0,-1.9125124720800226,0.9198186896202981,0.9198186896202981,18.38904292934749,12.145581790366487,1316
1.0,400,149.06196231566,0,0,-1.8814519857594578,-0.8035675945708124,0.8035675945708124,16.428902455307544,35.85658209883019,1798
1.0,400,153.08217466136347,0,0,-1.7102915514439692,-0.022174119929436378,0.04337155854159502,8.200869688211096,0.4077633987619035,3586
1.0,400,157.21081243669013,0,0,-1.862607574259063,0.7738582710333162,0.7759212652699919,19.04066557240789,39.92022427622796,2144
1.0,400,161.4507998836396,0,0,-1.9529957437637433,-0.9695970853834277,0.9695970853834277,17.547273536103603,6.556044076512262,730
1.0,400,165.80514011123853,0,0,-1.697760695543839,0.012949538226375323,0.07091275935180157,12.745364807480655,1.4166353322348428,4132
1.0,400,170.27691722258996,0,0,-1.711052089456946,-0.03825856203095355,0.14309617179730963,9.024773257686903,1.3434090532505365,3813
1.0,400,174.86929849928987,0,0,-1.68984723182383,-0.23125157101356028,0.23158796511192303,14.785838150378549,2.198090099590945,4273
1.0,400,179.58553664475738,0,0,-1.94785243586715,-0.9614172762784143,0.9614172762784143,17.64733671882248,8.049038577107348,867
1.0,400,184.42897208806758,0,0,-1.9346327258692393,-0.9307049784891447,0.9307049784891447,14.673551692382025,11.116907616458192,1129
1.0,400,189.40303534991932,0,0,-1.7076477914013417,0.07394337674750451,0.09402370435668725,9.924257998819957,2.164414075061793,4441
1.0,400,194.5112494724131,0,0,-1.712413296934994,0.04228489366198076,0.14569677885915447,10.293130627528734,2.4067904051182736,4328
1.0,400,199.75723251435952,0,0,-1.9456300535804711,0.9525326572910049,0.9525326572910049,16.20499670252728,8.424727686418336,951
1.0,400,205.14470011388823,0,0,-1.7170029242990608,0.03588058816978271,0.07681559646070119,6.399082424213702,1.5237886002700003,4663
1.0,400,210.67746812016887,0,0,-1.828257802966857,0.7103521265721582,0.7103523639017618,24.495454390753583,54.772203390332436,3628
1.0,400,216.35945529611038,0,0,-1.730174442747036,0.06168981605972803,0.09060050078778507,7.145544282429328,1.4053295103369323,4373
1.0,400,222.19468609395238,0,0,-1.7209202061579254,0.2089056485373049,0.21119767004759726,7.820498350954731,6.282320471338014,4626
1.0,400,228.18729350571442,0,0,-1.9205390154164095,0.876496164301065,0.8765118312558067,14.115232901468989,24.269744625175555,1778
1.0,400,234.34152199052193,0,0,-1.952479317850064,0.9566016538420652,0.956612215350666,12.813946165192755,7.589122505772029,1078
1.0,400,240.6617304808825,0,0,-1.7142167729603834,-0.28205211466054897,0.28205211466054897,8.97462523884693,5.748050085452401,5110
1.0,400,247.15239547004163,0,0,-1.785015573735259,0.6073825411018369,0.6073825411018369,10.822194434120611,27.941527627916184,3871
1.0,400,253.8181141826046,0,0,-1.7068121847612827,0.2666065628055073,0.2666065628055073,8.28355116650695,4.940963079545859,6131
1.0,400,260.66360783067046,0,0,-1.9196389905147466,0.8561583044034782,0.8584738366905633,14.375496853157529,32.07544345296949,1960
1.0,400,267.693724957784,0,0,-1.9545341418911206,-0.9642627504275916,0.9642627504275916,13.977230937850255,7.746376513986543,1142
1.0,400,274.9134448730744,0,0,-1.9298581422416368,-0.9132264342906612,0.9132264342906612,14.927177941692644,14.080792430323708,1791
1.0,400,282.32788117801294,0,0,-1.9492608123000306,-0.9483194198988335,0.9483258840142171,11.111895336940652,8.8578080270176,1402
1.0,400,289.94228538828753,0,0,-1.9355959040208028,0.9195830116429461,0.9195830116429461,15.512143782591448,15.920964646095818,1805
1.0,400,297.76205065335955,0,0,-1.8912905414383976,-0.8087404841268444,0.8146973379170036,18.567938643187226,40.22771522190251,3072
1.0,400,305.79271557633746,0,0,-1.9294633911994208,-0.8927341090695502,0.89274163050444,14.665425468308385,24.0257663213291,2085
1.0,400,314.0399681368724,0,0,-1.8389910794676072,-0.6006502169742532,0.6026682722038468,12.801974877349567,62.607056302913676,4401
1.0,400,322.5096497198549,0,0,-1.9243052899008903,-0.8925685254690788,0.8925789902722342,14.361954878440883,22.38262504461498,2384
1.0,400,331.2077592527663,0,0,-1.948504698247373,-0.9330138451381071,0.9330284885148533,9.39737495246809,12.417299188365796,1745
1.0,400,340.1404574546125,0,0,-1.9675954016417005,-0.9644207424039603,0.9644207424039603,7.416259928560467,6.758696943219183,1113
1.0,400,349.3140711994559,0,0,-1.7299969420783565,0.026637883404035327,0.09929456142691462,5.441564862552331,1.9690294006022435,7143
